"displacement","displacementOffset","displacements","durSweep","gain","mode","postDurInSec","preDurInSec","protocol","sampratein","samprateout","secondary_gain","stimDurInSec","Vm_id","trial","trialBlock","tags","rawname","datestr","idstr","fly","cell","genotype","timestamp","path"
-1,5,-1/-0.3/-0.1/0.1/0.3/1,0.5,5,IClamp,0.1,0.2,PiezoStep,50000,50000,5,0.2,0,1,5,NaN,PiezoStep_Raw_140218_F2_C2_1.mat,140218,140218_F2_C2,2,2,GH86-Gal4/+;pJFRC7/+;VT34811/+,01-May-2014 21:03:19,/Users/tony/Code/ParametersDB/140218/140218_F2_C2
-0.3,5,-1/-0.3/-0.1/0.1/0.3/1,0.5,5,IClamp,0.1,0.2,PiezoStep,50000,50000,5,0.2,0,2,5,NaN,PiezoStep_Raw_140218_F2_C2_2.mat,140218,140218_F2_C2,2,2,GH86-Gal4/+;pJFRC7/+;VT34811/+,01-May-2014 21:03:19,/Users/tony/Code/ParametersDB/140218/140218_F2_C2
-0.1,5,-1/-0.3/-0.1/0.1/0.3/1,0.5,5,IClamp,0.1,0.2,PiezoStep,50000,50000,5,0.2,0,3,5,NaN,PiezoStep_Raw_140218_F2_C2_3.mat,140218,140218_F2_C2,2,2,GH86-Gal4/+;pJFRC7/+;VT34811/+,01-May-2014 21:03:19,/Users/tony/Code/ParametersDB/140218/140218_F2_C2
0.1,5,-1/-0.3/-0.1/0.1/0.3/1,0.5,5,IClamp,0.1,0.2,PiezoStep,50000,50000,5,0.2,0,4,5,NaN,PiezoStep_Raw_140218_F2_C2_4.mat,140218,140218_F2_C2,2,2,GH86-Gal4/+;pJFRC7/+;VT34811/+,01-May-2014 21:03:19,/Users/tony/Code/ParametersDB/140218/140218_F2_C2
0.3,5,-1/-0.3/-0.1/0.1/0.3/1,0.5,5,IClamp,0.1,0.2,PiezoStep,50000,50000,5,0.2,0,5,5,NaN,PiezoStep_Raw_140218_F2_C2_5.mat,140218,140218_F2_C2,2,2,GH86-Gal4/+;pJFRC7/+;VT34811/+,01-May-2014 21:03:19,/Users/tony/Code/ParametersDB/140218/140218_F2_C2
1,5,-1/-0.3/-0.1/0.1/0.3/1,0.5,5,IClamp,0.1,0.2,PiezoStep,50000,50000,5,0.2,0,6,5,NaN,PiezoStep_Raw_140218_F2_C2_6.mat,140218,140218_F2_C2,2,2,GH86-Gal4/+;pJFRC7/+;VT34811/+,01-May-2014 21:03:19,/Users/tony/Code/ParametersDB/140218/140218_F2_C2
-1,5,-1/-0.3/-0.1/0.1/0.3/1,0.5,5,IClamp,0.1,0.2,PiezoStep,50000,50000,5,0.2,0,7,5,NaN,PiezoStep_Raw_140218_F2_C2_7.mat,140218,140218_F2_C2,2,2,GH86-Gal4/+;pJFRC7/+;VT34811/+,01-May-2014 21:03:19,/Users/tony/Code/ParametersDB/140218/140218_F2_C2
-0.3,5,-1/-0.3/-0.1/0.1/0.3/1,0.5,5,IClamp,0.1,0.2,PiezoStep,50000,50000,5,0.2,0,8,5,NaN,PiezoStep_Raw_140218_F2_C2_8.mat,140218,140218_F2_C2,2,2,GH86-Gal4/+;pJFRC7/+;VT34811/+,01-May-2014 21:03:19,/Users/tony/Code/ParametersDB/140218/140218_F2_C2
-0.1,5,-1/-0.3/-0.1/0.1/0.3/1,0.5,5,IClamp,0.1,0.2,PiezoStep,50000,50000,5,0.2,0,9,5,NaN,PiezoStep_Raw_140218_F2_C2_9.mat,140218,140218_F2_C2,2,2,GH86-Gal4/+;pJFRC7/+;VT34811/+,01-May-2014 21:03:19,/Users/tony/Code/ParametersDB/140218/140218_F2_C2
0.1,5,-1/-0.3/-0.1/0.1/0.3/1,0.5,5,IClamp,0.1,0.2,PiezoStep,50000,50000,5,0.2,0,10,5,NaN,PiezoStep_Raw_140218_F2_C2_10.mat,140218,140218_F2_C2,2,2,GH86-Gal4/+;pJFRC7/+;VT34811/+,01-May-2014 21:03:19,/Users/tony/Code/ParametersDB/140218/140218_F2_C2
0.3,5,-1/-0.3/-0.1/0.1/0.3/1,0.5,5,IClamp,0.1,0.2,PiezoStep,50000,50000,5,0.2,0,11,5,NaN,PiezoStep_Raw_140218_F2_C2_11.mat,140218,140218_F2_C2,2,2,GH86-Gal4/+;pJFRC7/+;VT34811/+,01-May-2014 21:03:19,/Users/tony/Code/ParametersDB/140218/140218_F2_C2
1,5,-1/-0.3/-0.1/0.1/0.3/1,0.5,5,IClamp,0.1,0.2,PiezoStep,50000,50000,5,0.2,0,12,5,NaN,PiezoStep_Raw_140218_F2_C2_12.mat,140218,140218_F2_C2,2,2,GH86-Gal4/+;pJFRC7/+;VT34811/+,01-May-2014 21:03:19,/Users/tony/Code/ParametersDB/140218/140218_F2_C2
-1,5,-1/-0.3/-0.1/0.1/0.3/1,0.5,5,IClamp,0.1,0.2,PiezoStep,50000,50000,5,0.2,0,13,5,NaN,PiezoStep_Raw_140218_F2_C2_13.mat,140218,140218_F2_C2,2,2,GH86-Gal4/+;pJFRC7/+;VT34811/+,01-May-2014 21:03:19,/Users/tony/Code/ParametersDB/140218/140218_F2_C2
-0.3,5,-1/-0.3/-0.1/0.1/0.3/1,0.5,5,IClamp,0.1,0.2,PiezoStep,50000,50000,5,0.2,0,14,5,NaN,PiezoStep_Raw_140218_F2_C2_14.mat,140218,140218_F2_C2,2,2,GH86-Gal4/+;pJFRC7/+;VT34811/+,01-May-2014 21:03:19,/Users/tony/Code/ParametersDB/140218/140218_F2_C2
-0.1,5,-1/-0.3/-0.1/0.1/0.3/1,0.5,5,IClamp,0.1,0.2,PiezoStep,50000,50000,5,0.2,0,15,5,NaN,PiezoStep_Raw_140218_F2_C2_15.mat,140218,140218_F2_C2,2,2,GH86-Gal4/+;pJFRC7/+;VT34811/+,01-May-2014 21:03:19,/Users/tony/Code/ParametersDB/140218/140218_F2_C2
0.1,5,-1/-0.3/-0.1/0.1/0.3/1,0.5,5,IClamp,0.1,0.2,PiezoStep,50000,50000,5,0.2,0,16,5,NaN,PiezoStep_Raw_140218_F2_C2_16.mat,140218,140218_F2_C2,2,2,GH86-Gal4/+;pJFRC7/+;VT34811/+,01-May-2014 21:03:19,/Users/tony/Code/ParametersDB/140218/140218_F2_C2
0.3,5,-1/-0.3/-0.1/0.1/0.3/1,0.5,5,IClamp,0.1,0.2,PiezoStep,50000,50000,5,0.2,0,17,5,NaN,PiezoStep_Raw_140218_F2_C2_17.mat,140218,140218_F2_C2,2,2,GH86-Gal4/+;pJFRC7/+;VT34811/+,01-May-2014 21:03:19,/Users/tony/Code/ParametersDB/140218/140218_F2_C2
1,5,-1/-0.3/-0.1/0.1/0.3/1,0.5,5,IClamp,0.1,0.2,PiezoStep,50000,50000,5,0.2,0,18,5,NaN,PiezoStep_Raw_140218_F2_C2_18.mat,140218,140218_F2_C2,2,2,GH86-Gal4/+;pJFRC7/+;VT34811/+,01-May-2014 21:03:19,/Users/tony/Code/ParametersDB/140218/140218_F2_C2
-1,5,-1/-0.3/-0.1/0.1/0.3/1,0.5,5,IClamp,0.1,0.2,PiezoStep,50000,50000,5,0.2,0,19,5,NaN,PiezoStep_Raw_140218_F2_C2_19.mat,140218,140218_F2_C2,2,2,GH86-Gal4/+;pJFRC7/+;VT34811/+,01-May-2014 21:03:19,/Users/tony/Code/ParametersDB/140218/140218_F2_C2
-0.3,5,-1/-0.3/-0.1/0.1/0.3/1,0.5,5,IClamp,0.1,0.2,PiezoStep,50000,50000,5,0.2,0,20,5,NaN,PiezoStep_Raw_140218_F2_C2_20.mat,140218,140218_F2_C2,2,2,GH86-Gal4/+;pJFRC7/+;VT34811/+,01-May-2014 21:03:19,/Users/tony/Code/ParametersDB/140218/140218_F2_C2
-0.1,5,-1/-0.3/-0.1/0.1/0.3/1,0.5,5,IClamp,0.1,0.2,PiezoStep,50000,50000,5,0.2,0,21,5,NaN,PiezoStep_Raw_140218_F2_C2_21.mat,140218,140218_F2_C2,2,2,GH86-Gal4/+;pJFRC7/+;VT34811/+,01-May-2014 21:03:19,/Users/tony/Code/ParametersDB/140218/140218_F2_C2
0.1,5,-1/-0.3/-0.1/0.1/0.3/1,0.5,5,IClamp,0.1,0.2,PiezoStep,50000,50000,5,0.2,0,22,5,NaN,PiezoStep_Raw_140218_F2_C2_22.mat,140218,140218_F2_C2,2,2,GH86-Gal4/+;pJFRC7/+;VT34811/+,01-May-2014 21:03:19,/Users/tony/Code/ParametersDB/140218/140218_F2_C2
0.3,5,-1/-0.3/-0.1/0.1/0.3/1,0.5,5,IClamp,0.1,0.2,PiezoStep,50000,50000,5,0.2,0,23,5,NaN,PiezoStep_Raw_140218_F2_C2_23.mat,140218,140218_F2_C2,2,2,GH86-Gal4/+;pJFRC7/+;VT34811/+,01-May-2014 21:03:19,/Users/tony/Code/ParametersDB/140218/140218_F2_C2
1,5,-1/-0.3/-0.1/0.1/0.3/1,0.5,5,IClamp,0.1,0.2,PiezoStep,50000,50000,5,0.2,0,24,5,NaN,PiezoStep_Raw_140218_F2_C2_24.mat,140218,140218_F2_C2,2,2,GH86-Gal4/+;pJFRC7/+;VT34811/+,01-May-2014 21:03:19,/Users/tony/Code/ParametersDB/140218/140218_F2_C2
-1,5,-1/-0.3/-0.1/0.1/0.3/1,0.5,5,IClamp,0.1,0.2,PiezoStep,50000,50000,5,0.2,0,25,5,NaN,PiezoStep_Raw_140218_F2_C2_25.mat,140218,140218_F2_C2,2,2,GH86-Gal4/+;pJFRC7/+;VT34811/+,01-May-2014 21:03:19,/Users/tony/Code/ParametersDB/140218/140218_F2_C2
-0.3,5,-1/-0.3/-0.1/0.1/0.3/1,0.5,5,IClamp,0.1,0.2,PiezoStep,50000,50000,5,0.2,0,26,5,NaN,PiezoStep_Raw_140218_F2_C2_26.mat,140218,140218_F2_C2,2,2,GH86-Gal4/+;pJFRC7/+;VT34811/+,01-May-2014 21:03:19,/Users/tony/Code/ParametersDB/140218/140218_F2_C2
-0.1,5,-1/-0.3/-0.1/0.1/0.3/1,0.5,5,IClamp,0.1,0.2,PiezoStep,50000,50000,5,0.2,0,27,5,NaN,PiezoStep_Raw_140218_F2_C2_27.mat,140218,140218_F2_C2,2,2,GH86-Gal4/+;pJFRC7/+;VT34811/+,01-May-2014 21:03:19,/Users/tony/Code/ParametersDB/140218/140218_F2_C2
0.1,5,-1/-0.3/-0.1/0.1/0.3/1,0.5,5,IClamp,0.1,0.2,PiezoStep,50000,50000,5,0.2,0,28,5,NaN,PiezoStep_Raw_140218_F2_C2_28.mat,140218,140218_F2_C2,2,2,GH86-Gal4/+;pJFRC7/+;VT34811/+,01-May-2014 21:03:19,/Users/tony/Code/ParametersDB/140218/140218_F2_C2
0.3,5,-1/-0.3/-0.1/0.1/0.3/1,0.5,5,IClamp,0.1,0.2,PiezoStep,50000,50000,5,0.2,0,29,5,NaN,PiezoStep_Raw_140218_F2_C2_29.mat,140218,140218_F2_C2,2,2,GH86-Gal4/+;pJFRC7/+;VT34811/+,01-May-2014 21:03:19,/Users/tony/Code/ParametersDB/140218/140218_F2_C2
