"displacement","displacementOffset","displacements","durSweep","gain","mode","postDurInSec","preDurInSec","protocol","ramptime","sampratein","samprateout","secondary_gain","stimDurInSec","Vm_id","trial","trialBlock","tags","rawname","datestr","idstr","fly","cell","genotype","timestamp","path"
0.2,5,0.2/0.4,2.3115,5,IClamp,1,0.4,PiezoCourtshipSong,0.04,40000,40000,5,0.91153,0,1,8,NaN,PiezoCourtshipSong_Raw_140219_F3_C4_1.mat,140219,140219_F3_C4,3,4,GH86-Gal4/+;pJFRC7/+;VT34811/+,01-May-2014 21:03:19,/Users/tony/Code/ParametersDB/140219/140219_F3_C4
0.4,5,0.2/0.4,2.3115,5,IClamp,1,0.4,PiezoCourtshipSong,0.04,40000,40000,5,0.91153,0,2,8,NaN,PiezoCourtshipSong_Raw_140219_F3_C4_2.mat,140219,140219_F3_C4,3,4,GH86-Gal4/+;pJFRC7/+;VT34811/+,01-May-2014 21:03:19,/Users/tony/Code/ParametersDB/140219/140219_F3_C4
0.2,5,0.2/0.4,2.3115,5,IClamp,1,0.4,PiezoCourtshipSong,0.04,40000,40000,5,0.91153,0,3,8,NaN,PiezoCourtshipSong_Raw_140219_F3_C4_3.mat,140219,140219_F3_C4,3,4,GH86-Gal4/+;pJFRC7/+;VT34811/+,01-May-2014 21:03:19,/Users/tony/Code/ParametersDB/140219/140219_F3_C4
0.4,5,0.2/0.4,2.3115,5,IClamp,1,0.4,PiezoCourtshipSong,0.04,40000,40000,5,0.91153,0,4,8,NaN,PiezoCourtshipSong_Raw_140219_F3_C4_4.mat,140219,140219_F3_C4,3,4,GH86-Gal4/+;pJFRC7/+;VT34811/+,01-May-2014 21:03:19,/Users/tony/Code/ParametersDB/140219/140219_F3_C4
0.2,5,0.2/0.4,2.3115,5,IClamp,1,0.4,PiezoCourtshipSong,0.04,40000,40000,5,0.91153,0,5,8,NaN,PiezoCourtshipSong_Raw_140219_F3_C4_5.mat,140219,140219_F3_C4,3,4,GH86-Gal4/+;pJFRC7/+;VT34811/+,01-May-2014 21:03:19,/Users/tony/Code/ParametersDB/140219/140219_F3_C4
0.4,5,0.2/0.4,2.3115,5,IClamp,1,0.4,PiezoCourtshipSong,0.04,40000,40000,5,0.91153,0,6,8,NaN,PiezoCourtshipSong_Raw_140219_F3_C4_6.mat,140219,140219_F3_C4,3,4,GH86-Gal4/+;pJFRC7/+;VT34811/+,01-May-2014 21:03:19,/Users/tony/Code/ParametersDB/140219/140219_F3_C4
0.2,5,0.2/0.4/0.8,2.3115,5,IClamp,1,0.4,PiezoCourtshipSong,0.04,40000,40000,5,0.91153,0,7,9,NaN,PiezoCourtshipSong_Raw_140219_F3_C4_7.mat,140219,140219_F3_C4,3,4,GH86-Gal4/+;pJFRC7/+;VT34811/+,01-May-2014 21:03:19,/Users/tony/Code/ParametersDB/140219/140219_F3_C4
0.4,5,0.2/0.4/0.8,2.3115,5,IClamp,1,0.4,PiezoCourtshipSong,0.04,40000,40000,5,0.91153,0,8,9,NaN,PiezoCourtshipSong_Raw_140219_F3_C4_8.mat,140219,140219_F3_C4,3,4,GH86-Gal4/+;pJFRC7/+;VT34811/+,01-May-2014 21:03:19,/Users/tony/Code/ParametersDB/140219/140219_F3_C4
0.8,5,0.2/0.4/0.8,2.3115,5,IClamp,1,0.4,PiezoCourtshipSong,0.04,40000,40000,5,0.91153,0,9,9,NaN,PiezoCourtshipSong_Raw_140219_F3_C4_9.mat,140219,140219_F3_C4,3,4,GH86-Gal4/+;pJFRC7/+;VT34811/+,01-May-2014 21:03:19,/Users/tony/Code/ParametersDB/140219/140219_F3_C4
0.2,5,0.2/0.4/0.8,2.3115,5,IClamp,1,0.4,PiezoCourtshipSong,0.04,40000,40000,5,0.91153,0,10,9,NaN,PiezoCourtshipSong_Raw_140219_F3_C4_10.mat,140219,140219_F3_C4,3,4,GH86-Gal4/+;pJFRC7/+;VT34811/+,01-May-2014 21:03:19,/Users/tony/Code/ParametersDB/140219/140219_F3_C4
