"durSweep","gain","mode","postDurInSec","preDurInSec","protocol","sampratein","samprateout","secondary_gain","step","steps","stimDurInSec","Vm_id","mode_1","mode_2","gain_1","gain_2","secondary_gain_1","secondary_gain_2","trial","trialBlock","tags","rawname","datestr","idstr","fly","cell","genotype","timestamp","path"
0.44,,,0.2,0.2,CurrentStep,50000,50000,,-20,-20/10/20/40,0.04,0,IClamp,IClamp,5,10,5,5,1,2,NaN,CurrentStep_Raw_140424_F1_C1_1.mat,140424,140424_F1_C1,1,1,GH86-Gal4/+;pJFRC7/+;VT34811/+,01-May-2014 21:03:19,/Users/tony/Code/ParametersDB/140424/140424_F1_C1
0.44,,,0.2,0.2,CurrentStep,50000,50000,,10,-20/10/20/40,0.04,0,IClamp,IClamp,5,10,5,5,2,2,NaN,CurrentStep_Raw_140424_F1_C1_2.mat,140424,140424_F1_C1,1,1,GH86-Gal4/+;pJFRC7/+;VT34811/+,01-May-2014 21:03:19,/Users/tony/Code/ParametersDB/140424/140424_F1_C1
0.44,,,0.2,0.2,CurrentStep,50000,50000,,20,-20/10/20/40,0.04,0,IClamp,IClamp,5,10,5,5,3,2,NaN,CurrentStep_Raw_140424_F1_C1_3.mat,140424,140424_F1_C1,1,1,GH86-Gal4/+;pJFRC7/+;VT34811/+,01-May-2014 21:03:19,/Users/tony/Code/ParametersDB/140424/140424_F1_C1
0.44,,,0.2,0.2,CurrentStep,50000,50000,,40,-20/10/20/40,0.04,0,IClamp,IClamp,5,10,5,5,4,2,NaN,CurrentStep_Raw_140424_F1_C1_4.mat,140424,140424_F1_C1,1,1,GH86-Gal4/+;pJFRC7/+;VT34811/+,01-May-2014 21:03:19,/Users/tony/Code/ParametersDB/140424/140424_F1_C1
0.44,,,0.2,0.2,CurrentStep,50000,50000,,-20,-20/10/20/40,0.04,0,IClamp,IClamp,5,10,5,5,5,2,NaN,CurrentStep_Raw_140424_F1_C1_5.mat,140424,140424_F1_C1,1,1,GH86-Gal4/+;pJFRC7/+;VT34811/+,01-May-2014 21:03:19,/Users/tony/Code/ParametersDB/140424/140424_F1_C1
0.44,,,0.2,0.2,CurrentStep,50000,50000,,10,-20/10/20/40,0.04,0,IClamp,IClamp,5,10,5,5,6,2,NaN,CurrentStep_Raw_140424_F1_C1_6.mat,140424,140424_F1_C1,1,1,GH86-Gal4/+;pJFRC7/+;VT34811/+,01-May-2014 21:03:19,/Users/tony/Code/ParametersDB/140424/140424_F1_C1
0.44,,,0.2,0.2,CurrentStep,50000,50000,,20,-20/10/20/40,0.04,0,IClamp,IClamp,5,10,5,5,7,2,NaN,CurrentStep_Raw_140424_F1_C1_7.mat,140424,140424_F1_C1,1,1,GH86-Gal4/+;pJFRC7/+;VT34811/+,01-May-2014 21:03:19,/Users/tony/Code/ParametersDB/140424/140424_F1_C1
0.44,,,0.2,0.2,CurrentStep,50000,50000,,40,-20/10/20/40,0.04,0,IClamp,IClamp,5,10,5,5,8,2,NaN,CurrentStep_Raw_140424_F1_C1_8.mat,140424,140424_F1_C1,1,1,GH86-Gal4/+;pJFRC7/+;VT34811/+,01-May-2014 21:03:19,/Users/tony/Code/ParametersDB/140424/140424_F1_C1
0.44,,,0.2,0.2,CurrentStep,50000,50000,,-20,-20/10/20/40,0.04,0,IClamp,IClamp,5,10,5,5,9,2,NaN,CurrentStep_Raw_140424_F1_C1_9.mat,140424,140424_F1_C1,1,1,GH86-Gal4/+;pJFRC7/+;VT34811/+,01-May-2014 21:03:19,/Users/tony/Code/ParametersDB/140424/140424_F1_C1
0.44,,,0.2,0.2,CurrentStep,50000,50000,,10,-20/10/20/40,0.04,0,IClamp,IClamp,5,10,5,5,10,2,NaN,CurrentStep_Raw_140424_F1_C1_10.mat,140424,140424_F1_C1,1,1,GH86-Gal4/+;pJFRC7/+;VT34811/+,01-May-2014 21:03:19,/Users/tony/Code/ParametersDB/140424/140424_F1_C1
